[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
279   44000      20728.86    214.42   74.76   75.89   73.66    0.75
281   44200      35637.12    230.47   74.14   74.33   73.95    0.74
282   44400       6446.07    208.11   75.15   76.47   73.88    0.75
283   44600       9901.60    200.23   75.17   75.06   75.28    0.75
285   44800       5364.68    151.57   75.10   74.64   75.57    0.75
286   45000       5407.80    156.88   75.75   75.20   76.31    0.76
287   45200       3624.73    165.49   74.93   75.54   74.32    0.75
289   45400      11888.55    202.87   74.90   75.26   74.54    0.75
290   45600       4380.39    196.08   74.29   76.28   72.41    0.74
291   45800       5620.34    200.90   75.51   73.04   78.15    0.76
292   46000       6600.33    192.11   76.00   75.47   76.53    0.76
294   46200       6596.31    182.56   73.72   74.60   72.85    0.74
295   46400      15028.45    230.43   75.30   74.89   75.72    0.75
296   46600       5341.40    186.87   75.94   74.80   77.12    0.76
298   46800       3814.23    195.09   75.95   76.26   75.64    0.76
299   47000       4161.59    180.97   74.09   75.54   72.70    0.74
300   47200       8934.08    206.02   74.38   74.21   74.54    0.74
302   47400       4227.21    127.94   74.65   74.54   74.76    0.75
303   47600       7320.77    168.45   74.92   75.22   74.61    0.75
304   47800       6383.34    192.94   75.43   75.29   75.57    0.75
306   48000       9915.64    176.24   74.74   73.23   76.31    0.75
307   48200       9508.99    192.80   75.38   74.96   75.79    0.75
308   48400       5030.84    189.35   74.97   74.67   75.28    0.75
310   48600       6975.71    188.45   75.47   74.87   76.09    0.75
311   48800       6225.53    216.42   75.48   76.59   74.39    0.75
312   49000       4144.19    170.39   75.11   75.62   74.61    0.75
314   49200       6834.85    169.80   75.21   75.98   74.47    0.75
315   49400       4141.08    173.30   74.14   76.61   71.82    0.74
316   49600      14315.26    176.89   75.42   75.78   75.06    0.75
317   49800       5577.53    179.24   74.89   74.29   75.50    0.75
319   50000       9090.47    187.66   75.14   76.61   73.73    0.75
320   50200       3452.12    127.67   73.91   75.00   72.85    0.74
321   50400      11196.88    203.35   74.71   74.22   75.20    0.75
323   50600       4605.15    172.39   75.21   74.64   75.79    0.75
324   50800       6829.73    171.71   75.74   74.14   77.41    0.76
325   51000      19683.44    147.88   74.28   75.38   73.22    0.74
327   51200       5631.82    161.89   74.32   74.32   74.32    0.74
328   51400      14210.63    189.38   74.34   75.04   73.66    0.74
329   51600       8043.93    155.16   74.77   75.30   74.25    0.75
331   51800       6310.69    163.56   76.19   75.63   76.75    0.76
332   52000       9543.69    188.09   74.54   76.96   72.26    0.75
333   52200       7142.30    148.81   75.37   74.11   76.67    0.75
335   52400       8453.20    175.28   74.17   76.77   71.74    0.74
336   52600       7041.60    205.56   74.94   76.67   73.29    0.75
337   52800      12749.28    206.39   75.27   76.09   74.47    0.75
339   53000      10055.31    174.03   74.16   74.30   74.03    0.74
340   53200       9875.59    174.14   75.22   74.73   75.72    0.75
341   53400       5525.92    183.41   74.75   74.45   75.06    0.75
342   53600      10518.08    187.11   74.43   76.33   72.63    0.74
344   53800      14317.34    182.30   73.97   74.89   73.07    0.74
345   54000      11436.35    158.86   74.15   76.22   72.19    0.74
346   54200       7106.70    162.19   74.54   72.79   76.38    0.75
348   54400       6003.76    177.98   74.76   74.54   74.98    0.75
349   54600      12830.50    186.52   74.20   75.53   72.92    0.74
350   54800      10113.42    193.47   74.68   75.04   74.32    0.75
352   55000       5258.07    197.96   74.44   75.86   73.07    0.74
353   55200       8216.08    171.33   74.49   75.64   73.36    0.74
354   55400       7411.10    179.82   74.03   74.33   73.73    0.74
356   55600       5929.74    162.65   74.82   74.87   74.76    0.75
357   55800       4722.02    143.37   74.66   74.20   75.13    0.75
358   56000      10037.81    169.16   74.91   75.13   74.69    0.75
360   56200       5237.11    145.59   74.42   75.11   73.73    0.74
361   56400       5759.86    130.40   74.34   73.86   74.83    0.74
362   56600      19681.74    203.59   75.52   73.72   77.41    0.76
363   56800       6662.81    195.82   75.59   73.39   77.92    0.76
365   57000       7968.81    182.24   73.91   75.56   72.33    0.74
366   57200      15901.21    234.29   75.01   75.71   74.32    0.75
367   57400      14942.68    186.35   74.55   75.62   73.51    0.75
369   57600       6351.01    171.68   74.54   74.76   74.32    0.75
370   57800       9888.64    193.76   74.52   75.57   73.51    0.75
371   58000       8237.41    159.46   74.38   75.51   73.29    0.74
373   58200       5700.84    157.54   74.86   73.82   75.94    0.75
374   58400       6204.41    137.25   74.50   75.74   73.29    0.74
375   58600       7607.39    137.63   75.46   74.91   76.01    0.75
377   58800       5134.10    144.24   75.69   75.66   75.72    0.76
378   59000       8715.89    160.78   74.65   75.76   73.58    0.75
379   59200      11797.45    166.96   74.97   75.79   74.17    0.75
